;服务器分组|游戏名称|游戏IP地址|端口|公告地址|网站主页|装备展示|网关密码|防火墙，0-关闭、1-恶魔盾|轻端地址|轻端端口

;例如：

战国传奇燕国兴亡战区|六国合纵(一区)|mir2-server-1.dspi.me|6065|http://dspi.me/notice.html|http://dspi.me|http://dspi.me|frxq20svq6dm|0|micro-client.dspi.me|8010
战国传奇燕国兴亡战区|襄平建城(新区)|mir2-server-1.dspi.me|6070|http://dspi.me/notice.html|http://dspi.me|http://dspi.me|frxq20svq6dm|0|micro-client.dspi.me|8010
战国传奇燕国兴亡战区|乐毅变法(未开)|mir2-server-1.dspi.me|6080|http://dspi.me/notice.html|http://dspi.me|http://dspi.me|frxq20svq6dm|0|micro-client.dspi.me|8010
战国传奇燕国兴亡战区|燕失中阳(未开)|mir2-server-1.dspi.me|6085|http://dspi.me/notice.html|http://dspi.me|http://dspi.me|frxq20svq6dm|0|micro-client.dspi.me|8010
战国传奇燕国兴亡战区|荆轲刺秦(未开)|mir2-server-1.dspi.me|6090|http://dspi.me/notice.html|http://dspi.me|http://dspi.me|frxq20svq6dm|0|micro-client.dspi.me|8010
战国传奇燕国兴亡战区|国灭辽东(未开)|mir2-server-1.dspi.me|6095|http://dspi.me/notice.html|http://dspi.me|http://dspi.me|frxq20svq6dm|0|micro-client.dspi.me|8010

战国传奇赤壁怀古战区|大江东去(一区)|mir2-server-1.dspi.me|6030|http://dspi.me/notice.html|http://dspi.me|http://dspi.me|frxq20svq6dm|0|micro-client.dspi.me|8010
战国传奇赤壁怀古战区|千古风流(二区)|mir2-server-1.dspi.me|6035|http://dspi.me/notice.html|http://dspi.me|http://dspi.me|frxq20svq6dm|0|micro-client.dspi.me|8010
战国传奇赤壁怀古战区|乱石穿空(三区)|mir2-server-1.dspi.me|6040|http://dspi.me/notice.html|http://dspi.me|http://dspi.me|frxq20svq6dm|0|micro-client.dspi.me|8010
战国传奇赤壁怀古战区|惊涛拍岸(四区)|mir2-server-1.dspi.me|6050|http://dspi.me/notice.html|http://dspi.me|http://dspi.me|frxq20svq6dm|0|micro-client.dspi.me|8010
战国传奇赤壁怀古战区|江山如画(五区)|mir2-server-1.dspi.me|6055|http://dspi.me/notice.html|http://dspi.me|http://dspi.me|frxq20svq6dm|0|micro-client.dspi.me|8010
战国传奇赤壁怀古战区|人生如梦(六区)|mir2-server-1.dspi.me|6060|http://dspi.me/notice.html|http://dspi.me|http://dspi.me|frxq20svq6dm|0|micro-client.dspi.me|8010

战国传奇测试娱乐战区|测试专区(公测)|mir2-server-1.dspi.me|6045|http://dspi.me/notice.html|http://dspi.me|http://dspi.me|frxq20svq6dm|0|micro-client.dspi.me|8010
